OBJECTID,Geography ID,Geography Type,Name,perc_safe_play_places,safe_play_Lower 95% Confidence Limit,safe_play_Upper 95% Confidence Limit,safe_play_Relative Standard Error,safe_play_Estimation Method,safe_play_Shape__Area,safe_play_Shape__Length,le_at_birth,le_Lower 95% Confidence Limit,le_Upper 95% Confidence Limit,le_Relative Standard Error,le_Shape__Area,le_Shape__Length,"crime_Serious Violent Crimes (per 100,000 Population), 2022","crime_Lower 95% Confidence Limit, 2022","crime_Upper 95% Confidence Limit, 2022","crime_Relative Standard Error, 2022",crime,"crime_Lower 95% Confidence Limit, 2018-2022","crime_Upper 95% Confidence Limit, 2018-2022","crime_Relative Standard Error, 2018-2022",crime_Shape__Area,crime_Shape__Length,median_income,income_Lower 95% Confidence Limit,income_Upper 95% Confidence Limit,income_Relative Standard Error,income_Shape__Area,income_Shape__Length,safe_play_deviation,le_deviation,income_deviation,crime_deviation
51,csa_city_norwalk,Incorporated City,City of Norwalk,91.6,89.3,93.8,1.2,small area estimate,272018552.8,91643.10103,79.4,78.4,80.4,0.6,272018552.8,91643.10103,,,,,301.8,268.2,335.4,5.7,272018552.8,91643.10103,91259.0,87368.0,95150.0,2.2,272018552.8,91643.10103,4.742105263157896,-1.3333333333333286,-608.6973684210534,-38.165789473684185
52,csa_city_palmdale,Incorporated City,City of Palmdale,74.4,69.7,79.1,3.2,small area estimate,2962799243.0,682806.0602,77.5,76.7,78.3,0.5,2962799243.0,682806.0602,,,,,359.2,330.6,387.7,4.1,2962799243.0,682806.0602,78414.0,75520.0,81308.0,1.9,2962799243.0,682806.0602,-12.457894736842093,-3.2333333333333343,-13453.697368421053,19.234210526315792
53,csa_city_paramount,Incorporated City,City of Paramount,71.1,64.6,77.6,4.7,small area estimate,134398499.3,67994.94596,79.0,77.6,80.5,0.9,134398499.3,67994.94596,,,,,436.0,380.2,491.8,6.5,134398499.3,67994.94596,67197.0,61358.0,73036.0,4.4,134398499.3,67994.94596,-15.757894736842104,-1.7333333333333343,-24670.697368421053,96.0342105263158
54,csa_city_pasadena,Incorporated City,City of Pasadena,,,,,,644879965.9,282711.3609,,,,,644879965.9,282711.3609,,,,,,,,,644879965.9,282711.3609,,,,,644879965.9,282711.3609,,,,
55,csa_city_pico_rivera,Incorporated City,City of Pico Rivera,92.2,90.1,94.4,1.2,small area estimate,248180730.5,95367.70098,79.6,78.4,80.8,0.8,248180730.5,95367.70098,,,,,304.3,260.9,347.7,7.3,248180730.5,95367.70098,82539.0,76624.0,88454.0,3.7,248180730.5,95367.70098,5.3421052631579045,-1.13333333333334,-9328.697368421053,-35.665789473684185
56,csa_city_redondo_beach,Incorporated City,City of Redondo Beach,95.2,93.4,96.9,0.9,small area estimate,173842324.0,103678.6835,83.7,82.5,84.9,0.7,173842324.0,103678.6835,,,,,290.0,250.5,329.4,6.9,173842324.0,103678.6835,134033.0,126386.0,141680.0,2.9,173842324.0,103678.6835,8.342105263157904,2.9666666666666686,42165.30263157895,-49.9657894736842
57,csa_city_rosemead,Incorporated City,City of Rosemead,93.9,91.5,96.2,1.3,small area estimate,144217751.4,94495.08684,81.3,80.0,82.7,0.8,144217751.4,94495.08684,,,,,335.5,285.3,385.7,7.6,144217751.4,94495.08684,70073.0,63638.0,76508.0,4.7,144217751.4,94495.08684,7.042105263157907,0.5666666666666629,-21794.697368421053,-4.465789473684197
58,csa_city_san_dimas,Incorporated City,City of San Dimas,88.2,84.7,91.7,2.0,small area estimate,429685883.3,170632.3704,79.5,78.0,81.0,1.0,429685883.3,170632.3704,,,,,189.6,143.9,235.3,12.3,429685883.3,170632.3704,102241.0,84042.0,120440.0,9.1,429685883.3,170632.3704,1.3421052631579045,-1.2333333333333343,10373.302631578947,-150.3657894736842
59,csa_city_san_fernando,Incorporated City,City of San Fernando,77.0,71.5,82.5,3.7,small area estimate,66108330.46,36548.92329,79.6,77.4,81.8,1.4,66108330.46,36548.92329,,,,,376.0,298.2,453.9,10.6,66108330.46,36548.92329,70950.0,61301.0,80599.0,6.9,66108330.46,36548.92329,-9.857894736842098,-1.13333333333334,-20917.697368421053,36.0342105263158
60,csa_city_san_gabriel,Incorporated City,City of San Gabriel,93.2,90.7,95.6,1.3,small area estimate,115211437.2,96451.89613,84.3,82.6,86.0,1.0,115211437.2,96451.89613,,,,,192.4,149.2,235.6,11.5,115211437.2,96451.89613,84056.0,78848.0,89264.0,3.2,115211437.2,96451.89613,6.3421052631579045,3.566666666666663,-7811.697368421053,-147.5657894736842
61,csa_city_san_marino,Incorporated City,City of San Marino,,,,,,105008644.9,56678.57929,,,,,105008644.9,56678.57929,,,,,,,,,105008644.9,56678.57929,,,,,105008644.9,56678.57929,,,,
62,csa_city_santa_clarita,Incorporated City,City of Santa Clarita,89.0,86.3,91.7,1.5,small area estimate,2053437652.0,401512.9029,80.7,80.1,81.3,0.4,2053437652.0,401512.9029,,,,,154.5,138.4,170.6,5.3,2053437652.0,401512.9029,116186.0,112729.0,119643.0,1.5,2053437652.0,401512.9029,2.1421052631579016,-0.03333333333333144,24318.302631578947,-185.4657894736842
63,csa_city_santa_fe_springs,Incorporated City,City of Santa Fe Springs,,,,,,247463254.2,157552.5909,,,,,247463254.2,157552.5909,,,,,,,,,247463254.2,157552.5909,,,,,247463254.2,157552.5909,,,,
